message,author,category,sentiment,keyword_mentioned,message_length,timestamp
I just found an app! It was weird.,Alice,tech,0.91,app,37,
I just loved recipe! It was funny.,Bob,food,0.89,recipe,34,2025-02-14 14:57:02
"I just loved JavaScript! It was exciting.","Charlie","2025-02-14 15:05:22","tech",0.43,"JavaScript",41
"I just tried Python! It was amazing.","Alice","2025-02-14 15:05:27","tech",0.28,"Python",36
"I just saw a meme! It was exciting.","Alice","2025-02-14 15:05:32","humor",0.3,"meme",35
"I just found recipe! It was amazing.","Bob","2025-02-14 15:05:37","food",0.15,"recipe",36
"I just tried JavaScript! It was boring.","Alice","2025-02-14 15:05:42","tech",0.81,"JavaScript",39
"I just found travel! It was funny.","Bob","2025-02-14 15:05:47","travel",0.58,"travel",34
"I just found an app! It was boring.","Bob","2025-02-14 15:05:52","other",0.13,"other",35
"I just tried JavaScript! It was boring.","Alice","2025-02-14 15:05:57","tech",0.17,"JavaScript",39
"I just tried JavaScript! It was boring.","Charlie","2025-02-14 15:06:02","tech",0.56,"JavaScript",39
"I just saw a meme! It was weird.","Alice","2025-02-14 15:06:07","humor",0.71,"meme",32
"I just tried Python! It was weird.","Eve","2025-02-14 15:06:12","tech",0.19,"Python",34
"I just loved JavaScript! It was funny.","Bob","2025-02-14 15:06:17","tech",0.1,"JavaScript",38
"I just loved a trick! It was weird.","Charlie","2025-02-14 15:06:22","other",0.11,"other",35
"I just loved an app! It was amazing.","Alice","2025-02-14 15:06:27","other",0.11,"other",36
"I just loved game! It was weird.","Eve","2025-02-14 15:06:32","gaming",0.73,"game",32
"I just found recipe! It was amazing.","Charlie","2025-02-14 15:06:37","food",0.07,"recipe",36
"I just loved Python! It was funny.","Bob","2025-02-14 15:06:43","tech",0.09,"Python",34
"I just shared a trick! It was weird.","Charlie","2025-02-14 15:06:48","other",0.34,"other",36
"I just saw an app! It was amazing.","Eve","2025-02-14 15:06:53","other",0.1,"other",34
"I just saw an app! It was exciting.","Charlie","2025-02-14 15:06:58","other",0.53,"other",35
"I just loved JavaScript! It was exciting.","Bob","2025-02-14 15:07:03","tech",0.8,"JavaScript",41
"I just shared a meme! It was exciting.","Charlie","2025-02-14 15:07:08","humor",0.45,"meme",38
"I just found JavaScript! It was exciting.","Charlie","2025-02-14 15:07:13","tech",0.34,"JavaScript",41
